,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU,Traning Loss,Validation Loss,Start Training Time,Start Testing Time,End Time
0,1,0.7914778231483303,0.8590669784598991,0.5358682790911986,0.6777139080208774,0.7304320799983884,0.3795603731854094,1713701512.6898108,1713702185.1745875,1713702269.147157
1,2,0.8838969215375608,0.8825865382524356,0.608522700429631,0.728479067760628,0.3356757717424454,0.3093862413118283,1713702269.1921551,1713702934.5780182,1713703018.930198
2,3,0.8976446016429491,0.8914709124369345,0.6352593168118523,0.7537151006004946,0.29281850014248484,0.28599289837810726,1713703018.9931958,1713703687.7321656,1713703771.3408992
3,4,0.9027413165269236,0.8914038034968684,0.6607961919431529,0.7533496115883395,0.27642934457388296,0.2827490537530846,1713703771.4028993,1713704436.923885,1713704521.1565237
4,5,0.9069626238580699,0.8926612041688413,0.6635320610064264,0.755938282387271,0.26478280942009025,0.28272981548474896,1713704521.1565237,1713705185.0150855,1713705268.8872068
5,6,0.9092162457429026,0.8938752813478601,0.6586160500952867,0.7428223220376717,0.25898080296149517,0.28900977646311127,1713705268.9492693,1713705934.446692,1713706018.5277677
6,7,0.910465371417781,0.8970154700548016,0.6670151052268973,0.7688015673175271,0.2539375553619398,0.2778240366321471,1713706018.528768,1713706685.2567196,1713706769.152935
7,8,0.912993442002914,0.8998250410468859,0.6649241769107345,0.7655341338110078,0.24783242837412953,0.2678237608530455,1713706769.2359364,1713707436.2828014,1713707526.285718
8,9,0.9142191382785684,0.900425453690414,0.7071644527329464,0.7748821114535542,0.24366886387802916,0.2647248963928885,1713707526.2867172,1713708209.3256443,1713708293.9388971
9,10,0.9170704717221467,0.9045958920494085,0.6970656153471706,0.7705115702309413,0.23657618166380126,0.25627105126364363,1713708294.0080936,1713708959.0999663,1713709043.4152336
10,11,0.9175412245691504,0.9088409147747043,0.6931614531211361,0.7810221396517321,0.23476569627324284,0.2491974327713251,1713709043.4162343,1713709713.4721682,1713709797.080725
11,12,0.9190519843548878,0.9041212024834725,0.7205500218943888,0.7669694114059354,0.2297922388418179,0.2553548608182205,1713709797.1423833,1713710463.3555503,1713710547.3118446
12,13,0.920041815367116,0.9127865806584899,0.6990510373689751,0.7848812738738463,0.2288611452915712,0.2432450381004148,1713710547.3118446,1713711213.4636738,1713711297.3462548
13,14,0.9220320223670803,0.9042933071829332,0.6786281419949081,0.7835634034515273,0.22310023042170898,0.2616045645438135,1713711297.4507291,1713711968.605701,1713712053.2770708
14,15,0.9220141098755721,0.9164427436717119,0.7102398302738102,0.7913724459203829,0.2224440709250879,0.22845393290950192,1713712053.2780728,1713712747.5873215,1713712831.6777494
15,16,0.9229732138068507,0.9042219508415971,0.7215039092307215,0.7813548795139326,0.21902846978035345,0.2518376854144865,1713712831.7237487,1713713498.2332764,1713713582.333537
16,17,0.9231693433678668,0.9151240105254002,0.7150121308895049,0.7889593202204463,0.21985695798384788,0.22527831885963678,1713713582.333537,1713714248.5624185,1713714332.9154215
17,18,0.9244953216622569,0.9167813465009569,0.719023850483328,0.7955881633649411,0.21505666127773662,0.2275840097417434,1713714332.9164217,1713714998.4211733,1713715082.7689846
18,19,0.9244762219880757,0.9152358021268268,0.7226160618276868,0.7961633882404688,0.21554846768384667,0.2387220227987402,1713715082.8339837,1713715748.9550633,1713715833.143345
19,20,0.924853885746657,0.9123861356667536,0.717294562215784,0.7855440243269425,0.21480138182162692,0.2460048763702313,1713715833.189345,1713716499.6648629,1713716583.7985473
20,21,0.9311889019929026,0.9263585567806193,0.7579266213256608,0.8142533511514398,0.1952731277648726,0.20325595839983887,1713716583.799547,1713717250.4821558,1713717336.5245206
21,22,0.9326860091778998,0.9248801213465553,0.7594169317364439,0.8094737898489627,0.19165743448402844,0.20866406087039246,1713717336.5775206,1713718002.0127592,1713718086.3347402
22,23,0.9330448875165368,0.9211942265244433,0.7483746207883704,0.8098262476250463,0.18977171167288,0.21320739531268676,1713718086.3347402,1713718751.292474,1713718835.0172677
